kind,threads,mode,rep,rps,p50,p90,p99,app0,app1,obi0,obi1,freq,obi_rss
noobi,pt,all,1,4050.9876,,,,279856012;153493464;126362548,773727342;291718008;482009333,0;0;0,0;0;0,875.309,0
noobi,vt,all,1,2099.9195,,,,307992361;163369564;144622796,881872213;277694223;604177990,0;0;0,0;0;0,916.738,0
jtpin,pt,all,1,3654.0609,,,,288955369;177201670;111753698,770826690;348401414;422425276,41416264;16871049;24545215,54307797;26919331;27388465,883.178,214.5MiB
jtpin,vt,all,1,1762.3849,,,,322681812;181992275;140689537,856008960;321195410;534813550,33517505;12824827;20692677,41895957;18786651;23109306,822.228,212MiB
fix,pt,all,1,3968.8613,,,,295184988;173197472;121987516,844023499;348626427;495397072,37565399;15398333;22167065,50664040;25371187;25292853,955.618,215.4MiB
fix,vt,all,1,2239.8226,,,,352262012;197354284;154907728,967798977;330234936;637564040,36367597;14079084;22288512,44041788;19518831;24522956,989.755,212.7MiB
jtpin,pt,disabled,1,3974.9709,,,,313146268;182906888;130239380,874695236;370534362;504160874,40200002;17084444;23115558,52738572;26818933;25919639,934.095,192.3MiB
jtpin,vt,disabled,1,2095.5737,,,,355961084;198038553;157922531,967723159;330636344;637086814,34536503;13722571;20813932,42966291;19734658;23231632,877.27,192MiB
fix,pt,disabled,1,3799.6375,,,,313150967;182830908;130320058,872035391;354717013;517318378,39259685;16763511;22496173,51394765;25987901;25406863,947.405,193MiB
fix,vt,disabled,1,2294.5495,,,,358603070;197593272;161009797,973009725;321011096;651998628,35285877;13932486;21353390,43643280;19959967;23683312,964.552,193.3MiB
noobi,vt,all,2,2177.1506,,,,300377514;157181876;143195638,912064518;281924706;630139812,0;0;0,0;0;0,911.675,0
jtpin,pt,all,2,3707.4629,,,,313144304;181063512;132080791,863172933;355781284;507391648,42633896;17458697;25175198,54770786;26787895;27982890,908.613,211.3MiB
jtpin,vt,all,2,2176.3210,,,,355631425;192232624;163398800,964043586;308244205;655799381,34642473;13347953;21294519,42663920;19033246;23630673,953.91,212MiB
fix,pt,all,2,3547.5706,,,,320566169;182979033;137587135,876648049;370461742;506186306,39484934;16426853;23058081,51700137;25843958;25856178,898.035,212.8MiB
fix,vt,all,2,2074.8824,,,,355827433;193623611;162203822,948968304;316498318;632469986,34635938;13350785;21285152,42767284;19160436;23606847,915.21,217.6MiB
jtpin,pt,disabled,2,3716.4787,,,,317729860;184254454;133475406,870442345;376151693;494290651,37865882;16282025;21583857,50594288;26206995;24387292,876.446,191.5MiB
jtpin,vt,disabled,2,2218.8021,,,,358102851;193326511;164776339,971414164;316954248;654459915,32775541;12937847;19837694,41128325;18984895;22143430,932.125,191.3MiB
fix,pt,disabled,2,3823.9917,,,,319532272;185884596;133647676,869992092;364566916;505425176,38176663;16321921;21854742,50901835;26137319;24764516,919.399,192.6MiB
fix,vt,disabled,2,2201.4180,,,,358825877;195230112;163595765,972377640;318236680;654140959,34080390;13197947;20882442,42485726;19207668;23278058,905.495,192.2MiB
noobi,pt,all,2,4670.5584,,,,268300977;142724078;125576898,830399819;313328128;517071690,0;0;0,0;0;0,940.371,0
jtpin,pt,all,3,3565.9666,,,,318829134;181501281;137327853,867078485;357930995;509147489,37038099;16972447;20065651,49372148;26401523;22970625,894.772,214.6MiB
jtpin,vt,all,3,2108.3080,,,,350289372;191805402;158483970,964443595;320976570;643467025,35786981;13305856;22481124,43643872;18909938;24733934,941.044,212.6MiB
fix,pt,all,3,3827.4964,,,,315924310;182327139;133597171,881769364;361868960;519900403,41289887;16495521;24794366,53574957;25828565;27746392,977.133,214.6MiB
fix,vt,all,3,1854.9234,,,,361156795;197512209;163644586,892946252;315451138;577495114,35287543;13609621;21677921,43606064;19469919;24136145,834.56,214.1MiB
jtpin,pt,disabled,3,4045.9263,,,,301571678;177934090;123637588,838370429;354302767;484067661,35778867;15404326;20374540,48732502;25486544;23245957,938.994,190.5MiB
jtpin,vt,disabled,3,2110.2017,,,,324966547;185225917;139740630,930121241;328284977;601836264,34637525;13949686;20687838,42636488;19519047;23117440,907.631,193.4MiB
fix,pt,disabled,3,3583.7378,,,,295016394;182713494;112302899,764862598;361671193;403191405,39191686;16384813;22806873,51950096;26009632;25940463,875.916,192.7MiB
fix,vt,disabled,3,2043.7347,,,,343125058;187559259;155565798,888759508;305069264;583690244,30244800;12241028;18003771,38503846;18177402;20326444,881.239,191MiB
noobi,pt,all,3,4693.8950,,,,229402568;140555248;88847320,706093853;313390520;392703333,0;0;0,0;0;0,877.872,0
noobi,vt,all,3,2320.1460,,,,297305610;152295384;145010226,918732362;269098381;649633981,0;0;0,0;0;0,977.61,0
jtpin,vt,all,4,1896.9755,,,,345943760;189806456;156137304,869558523;315169363;554389160,41318809;15919214;25399594,49912970;21960647;27952322,806.198,211.7MiB
fix,pt,all,4,3357.6887,,,,310242121;175413173;134828948,841702003;366449429;475252574,35617349;14746230;20871118,47513555;23715993;23797561,893.09,214MiB
fix,vt,all,4,2239.6843,,,,347317001;189945132;157371868,958554620;324884467;633670152,34692952;13588106;21104845,42769408;19355535;23413872,957.76,214.3MiB
jtpin,pt,disabled,4,3711.6767,,,,311522373;180461980;131060393,871355256;367421953;503933303,40111462;16805368;23306093,52394812;26054016;26340795,914.342,192.5MiB
jtpin,vt,disabled,4,2238.3220,,,,358570010;194242636;164327373,975816312;319566827;656249484,33707609;13692009;20015599,41919357;19624621;22294735,943.679,192.2MiB
fix,pt,disabled,4,3732.6686,,,,319418975;186377015;133041960,877797639;376931141;500866498,38569804;16463043;22106760,51230650;26171658;25058991,906.975,191.3MiB
fix,vt,disabled,4,2229.1575,,,,356654530;193243293;163411236,955729162;308507256;647221905,34407453;13482867;20924585,42446940;19121051;23325888,935.28,190.5MiB
noobi,pt,all,4,4983.1593,,,,295450428;166261383;129189045,860947037;328900400;532046636,0;0;0,0;0;0,995,0
noobi,vt,all,4,2369.2672,,,,341312451;178276107;163036344,984499415;285675334;698824081,0;0;0,0;0;0,1014.18,0
jtpin,pt,all,4,3622.5387,,,,304094584;177693905;126400679,845577549;358830893;486746655,43670241;17818129;25852111,55125689;26642304;28483385,955.313,211.8MiB
fix,pt,all,5,3790.3539,,,,318656065;184040032;134616033,880690947;372131614;508559332,37158616;15564262;21594353,49180135;24884346;24295789,974.079,212MiB
fix,vt,all,5,2308.0519,,,,354744444;188241750;166502694,969056625;302692825;666363800,34614079;13316859;21297220,42407310;18932127;23475183,1042.66,214.8MiB
jtpin,pt,disabled,5,3846.8170,,,,313006644;181109193;131897450,883175985;357038410;526137574,39143119;16853991;22289127,50770392;25789107;24981285,1011.45,190.8MiB
jtpin,vt,disabled,5,2219.1171,,,,358462853;194442550;164020302,978347307;311921590;666425716,34558678;13898752;20659925,42124674;19323422;22801252,1005.56,189.8MiB
fix,pt,disabled,5,3755.2238,,,,317067712;181975020;135092692,873162582;362828136;510334446,38689563;17017448;21672114,50922007;26474872;24447135,967.947,192MiB
fix,vt,disabled,5,2063.9679,,,,334850979;181807562;153043416,900826215;312504273;588321941,33805806;13432033;20373773,42220840;19328276;22892564,860.02,193.4MiB
noobi,pt,all,5,4612.4126,,,,248917945;143788349;105129596,775751221;316704453;459046768,0;0;0,0;0;0,853.742,0
noobi,vt,all,5,2116.8375,,,,332687590;169862108;162825481,916676478;288146347;628530130,0;0;0,0;0;0,804.784,0
jtpin,pt,all,5,3131.5634,,,,296999783;178473666;118526116,748208446;353792498;394415947,39580875;16137629;23443246,52714394;26100897;26613497,781.595,212.5MiB
jtpin,vt,all,5,1674.5954,,,,287240094;184049795;103190298,654445050;324115039;330330011,31826770;12148993;19677776,41436975;18804368;22632607,744.776,213.1MiB
jtpin,vt,all,6,1781.4844,,,,275099237;198953806;76145431,673701052;340448189;333252863,28644989;10756299;17888689,39133537;18035917;21097620,713.575,218MiB
jtpin,vt,all,7,1808.8692,,,,293340644;185597074;107743569,847259527;344435802;502823724,30691833;11110942;19580890,39550668;17214978;22335690,760.1,214.7MiB
jtpin,vt,all,8,1748.8733,,,,328526155;176575205;151950949,904460314;334125856;570334458,40120402;15875081;24245321,48534974;21635583;26899390,803.542,212.4MiB
jtpin,vt,all,9,1744.1378,,,,330386758;182871753;147515005,900437390;341455578;558981811,40003145;14881716;25121429,48477434;20777351;27700082,768.522,212.7MiB
jtpin,vt,all,10,1743.9416,,,,330913473;184331830;146581642,875904566;334505217;541399349,37659101;14744255;22914845,45994472;20397998;25596473,802.329,211.8MiB
churn-jtpin,vt,all,1,0,0,0,0,51805094;50442936;1362157,78465981;73063275;5402705,32732441;10600029;22132412,34552456;11413558;23138897,0,0
churn-fix,vt,all,1,0,0,0,0,48417553;46386502;2031050,85107256;66180897;18926358,7982955;1410768;6572187,9890676;2280597;7610078,0,0
churn-jtpin,vt,all,2,0,0,0,0,51273965;50010255;1263710,77341041;72400833;4940207,8455032;1424870;7030162,10299004;2248082;8050921,0,0
churn-fix,vt,all,2,0,0,0,0,51205177;48829937;2375240,89332045;69881970;19450074,8365555;1458797;6906757,10350345;2471011;7879334,0,0
churn-jtpin,vt,all,3,0,0,0,0,49874671;48629582;1245088,82509211;77208877;5300334,8388077;1484206;6903870,10465868;2373785;8092083,0,0
churn-fix,vt,all,3,0,0,0,0,50804187;48471045;2333141,88203088;69455672;18747416,8704176;1495842;7208334,10682294;2311711;8370583,0,0
nonjava-jtpin,pt,all,1,15730.0832,0,0,0,0;0;0,0;0;0,25690553;15556350;10134203,59691436;44290233;15401202,0,0
nonjava-fix,pt,all,1,16927.9366,0,0,0,0;0;0,0;0;0,28271746;17841286;10430459,64347043;48339982;16007061,0,0
nonjava-jtpin,pt,all,2,16873.1238,0,0,0,0;0;0,0;0;0,28348734;17745141;10603592,64759092;48610777;16148314,0,0
nonjava-fix,pt,all,2,11709.1096,0,0,0,0;0;0,0;0;0,27086607;16459922;10626685,56370343;40599266;15771076,0,0
nonjava-jtpin,pt,all,3,11652.1751,0,0,0,0;0;0,0;0;0,25998191;15955371;10042820,54219046;39313393;14905653,0,0
nonjava-fix,pt,all,3,14580.7145,0,0,0,0;0;0,0;0;0,27551102;17150022;10401080,59766943;44287224;15479718,0,0
